item_code,name,description,status,is_rentable,category,cost_code,item_unit
4838SPRUCE,"4X8 x 3/8"" SPRUCE PLY SHEATHING","4X8 x 3/8"" SPRUCE PLY SHEATHING",1,0,Panel,2/06/10,ea
4812SPRUCE,"4X8 x 1/2"" SPRUCE PLY SHEATHING","4X8 x 1/2"" SPRUCE PLY SHEATHING",1,0,Panel,2/06/10,ea
4858SPRUCE,"4X8 x 5/8"" SPRUCE PLY SHEATHING","4X8 x 5/8"" SPRUCE PLY SHEATHING",1,0,Panel,2/06/10,ea
4834SPRUCE,"4X 8 x 3/4"" SPRUCE PLY SHEATHING","4X 8 x 3/4"" SPRUCE PLY SHEATHING",1,0,Panel,2/06/10,ea
4838FIR,"4X8 x 3/8"" FIR PLY SHEATHING","4X8 x 3/8"" FIR PLY SHEATHING",1,0,Panel,2/06/10,ea
4812FIR,"4X8 x 1/2"" FIR PLY SHEATHING","4X8 x 1/2"" FIR PLY SHEATHING",1,0,Panel,2/06/10,ea
4858FIR,"4X8 x 5/8"" FIR PLY SHEATHING","4X8 x 5/8"" FIR PLY SHEATHING",1,0,Panel,2/06/10,ea
4834FIR,"4X8 x 3/4"" FIR PLY SHEATHING","4X8 x 3/4"" FIR PLY SHEATHING",1,0,Panel,2/06/10,ea
481FIR,"4X8 x 1"" FIR PLY SHEATHING","4X8 x 1"" FIR PLY SHEATHING",1,0,Panel,2/06/10,ea
4838OSB,"4X8 x 3/8"" OSB SHEATHING","4X8 x 3/8"" OSB SHEATHING",1,0,Panel,2/06/10,ea
48716OSB,"4X8 x 7/16"" OSB SHEATHING","4X8 x 7/16"" OSB SHEATHING",1,0,Panel,2/06/10,ea
4812OSB,"4X8 x 1/2"" OSB SHEATHING","4X8 x 1/2"" OSB SHEATHING",1,0,Panel,2/06/10,ea
REBAR1520,REBAR 15MM X 20',REBAR 15MM X 20',1,0,Rebar,2/03/20,ea
REBAR152CORN,REBAR 90 15MM 2'X2' CORNER,REBAR 90 15MM 2'X2' CORNER,1,0,Rebar,2/03/20,ea
REBARTIE616,"REBAR LOOP TIES 6"" 16 GAUGE","REBAR LOOP TIES 6"" 16 GAUGE",1,0,Rebar,2/03/20,ea
2410414STDFIR,2 x 4 2BTR KD FIR STUD 104-1/4,2 x 4 2BTR KD FIR STUD 104-1/4,1,0,Stud,2/06/10,ea
2610414STDFIR,2 x 6 2BTR KD FIR STUD 104-1/4,2 x 6 2BTR KD FIR STUD 104-1/4,1,0,Stud,2/06/10,ea
249214STDSOLID,2 x 4 SOLID STUD 92-1/4,2 x 4 SOLID STUD 92-1/4,1,0,Stud,2/06/10,ea
2410414STDSOLID,2 x 4 SOLID STUD 104-1/4,2 x 4 SOLID STUD 104-1/4,1,0,Stud,2/06/10,ea
2411614STDSOLID,2 x 4 SOLID STUD 116-1/4,2 x 4 SOLID STUD 116-1/4,1,0,Stud,2/06/10,ea
269214STDSOLID,2 x 6 SOLID STUD 92-1/4,2 x 6 SOLID STUD 92-1/4,1,0,Stud,2/06/10,ea
2610414STDSOLID,2 x 6 SOLID STUD 104-1/4,2 x 6 SOLID STUD 104-1/4,1,0,Stud,2/06/10,ea
2611614STDSOLID,2 x 6 SOLID STUD 116-1/4,2 x 6 SOLID STUD 116-1/4,1,0,Stud,2/06/10,ea
249214STDFJ,2 x 4 FJ STUD 92-1/4,2 x 4 FJ STUD 92-1/4,1,0,Stud,2/06/10,ea
2410414STDFJ,2 x 4 FJ STUD 104-1/4,2 x 4 FJ STUD 104-1/4,1,0,Stud,2/06/10,ea
2411614STDFJ,2 x 4 FJ STUD 116-1/4,2 x 4 FJ STUD 116-1/4,1,0,Stud,2/06/10,ea
